epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7985,2.44208,2.88988,2.19381,0.90267,0.26043,0.34473,0.23403,2.09198,2.55069,2.03629,0.000361516,0.000361516,0.000361516
2,85.5129,1.14508,1.24726,1.39735,0.83767,0.65917,0.85917,0.67784,0.79281,1.14104,1.24803,0.000717359,0.000717359,0.000717359
3,125.164,0.75461,0.83901,1.15206,0.97718,0.98034,0.99468,0.82182,0.61558,0.5954,1.03697,0.00105854,0.00105854,0.00105854
4,165.295,0.61622,0.69284,1.04962,0.97935,0.98619,0.99492,0.87516,0.54122,0.5426,0.98408,0.00104501,0.00104501,0.00104501
5,207.336,0.55992,0.61948,1.00885,0.99399,0.99484,0.99467,0.89307,0.48512,0.4747,0.93484,0.00102301,0.00102301,0.00102301
6,252.288,0.50217,0.55273,0.98251,0.99447,0.99439,0.99497,0.90907,0.39403,0.43686,0.89271,0.00100101,0.00100101,0.00100101
7,293.128,0.46706,0.5024,0.95906,0.99672,0.99734,0.99499,0.92104,0.39476,0.41687,0.87957,0.000979013,0.000979013,0.000979013
8,333.033,0.43196,0.46689,0.94208,0.99566,0.99674,0.995,0.93116,0.37059,0.38292,0.87095,0.000957015,0.000957015,0.000957015
9,373.084,0.4002,0.43367,0.92418,0.9964,0.99564,0.99499,0.94332,0.35739,0.354,0.85372,0.000935018,0.000935018,0.000935018
10,412.717,0.38776,0.41202,0.92035,0.9965,0.99787,0.995,0.93379,0.35383,0.37233,0.84653,0.00091302,0.00091302,0.00091302
11,452.628,0.37962,0.39769,0.91465,0.99643,0.99838,0.99487,0.92188,0.38709,0.33291,0.85916,0.000891022,0.000891022,0.000891022
12,493.443,0.37158,0.38515,0.89893,0.99786,0.99838,0.99499,0.94444,0.32179,0.3099,0.83751,0.000869024,0.000869024,0.000869024
13,536.348,0.36087,0.37185,0.89742,0.99803,0.9981,0.99496,0.93826,0.3332,0.30983,0.83717,0.000847026,0.000847026,0.000847026
14,581.476,0.34737,0.36059,0.89351,0.99673,1,0.995,0.92529,0.36816,0.29041,0.8365,0.000825029,0.000825029,0.000825029
15,621.206,0.33278,0.34611,0.88841,0.99781,1,0.995,0.94862,0.3012,0.28492,0.82104,0.000803031,0.000803031,0.000803031
